index,S:all,A:all,I:all,betaA:all,betaI:all,kA:all,kI:all,sto:all,rep:all,phi:all,log_like
150,0.649693,1.02227e-05,1.13178e-05,1.44297,0.0190024,4.91348,82.5154,0.1,1,0.1,-17590.904014
151,0.649693,1.02227e-05,1.13178e-05,1.44297,0.0190024,4.91348,82.5154,0.1,1,0.1,-17590.904014
152,0.6578,1.02137e-05,1.11061e-05,1.41446,0.0184819,4.92614,82.4744,0.1,1,0.1,-17436.875142
153,0.657221,1.00524e-05,1.11915e-05,1.40067,0.0175773,4.94359,82.2172,0.1,1,0.1,-17193.420437
154,0.66269,1.02298e-05,1.12342e-05,1.4004,0.0173288,4.96196,82.2324,0.1,1,0.1,-17116.481433
155,0.645239,1.02292e-05,1.09155e-05,1.41061,0.0165604,4.95334,82.0964,0.1,1,0.1,-16953.527221
156,0.637492,9.97625e-06,1.04969e-05,1.39969,0.0160767,4.9648,81.9202,0.1,1,0.1,-16903.799261
157,0.637492,9.97625e-06,1.04969e-05,1.39969,0.0160767,4.9648,81.9202,0.1,1,0.1,-16903.799261
158,0.637492,9.97625e-06,1.04969e-05,1.39969,0.0160767,4.9648,81.9202,0.1,1,0.1,-16903.799261
159,0.637492,9.97625e-06,1.04969e-05,1.39969,0.0160767,4.9648,81.9202,0.1,1,0.1,-16903.799261
160,0.637492,9.97625e-06,1.04969e-05,1.39969,0.0160767,4.9648,81.9202,0.1,1,0.1,-16903.799261
161,0.636017,9.97831e-06,1.04746e-05,1.38269,0.0154499,4.96699,81.8425,0.1,1,0.1,-16864.650429
162,0.636017,9.97831e-06,1.04746e-05,1.38269,0.0154499,4.96699,81.8425,0.1,1,0.1,-16864.650429
163,0.643313,9.87508e-06,1.03633e-05,1.38576,0.0152258,4.96924,81.6543,0.1,1,0.1,-16777.136825
164,0.643313,9.87508e-06,1.03633e-05,1.38576,0.0152258,4.96924,81.6543,0.1,1,0.1,-16777.136825
165,0.650113,9.81591e-06,1.00962e-05,1.42876,0.0153029,4.95037,81.2068,0.1,1,0.1,-16626.922047
166,0.650113,9.81591e-06,1.00962e-05,1.42876,0.0153029,4.95037,81.2068,0.1,1,0.1,-16626.922047
167,0.650113,9.81591e-06,1.00962e-05,1.42876,0.0153029,4.95037,81.2068,0.1,1,0.1,-16626.922047
168,0.651571,1.00108e-05,1.01419e-05,1.41293,0.0147954,4.94203,81.0864,0.1,1,0.1,-16587.243457
169,0.651571,1.00108e-05,1.01419e-05,1.41293,0.0147954,4.94203,81.0864,0.1,1,0.1,-16587.243457
170,0.66636,1.02205e-05,1.02683e-05,1.40482,0.0150482,4.94538,80.9224,0.1,1,0.1,-16514.665567
171,0.66636,1.02205e-05,1.02683e-05,1.40482,0.0150482,4.94538,80.9224,0.1,1,0.1,-16514.665567
172,0.66636,1.02205e-05,1.02683e-05,1.40482,0.0150482,4.94538,80.9224,0.1,1,0.1,-16514.665567
173,0.66636,1.02205e-05,1.02683e-05,1.40482,0.0150482,4.94538,80.9224,0.1,1,0.1,-16514.665567
